Runtime (ms):,61905
Average checktime (ms):,14.672167
Cubesize:,100
Devisions:,4
Total cells:,64

Time per collision check(ms),TimeStamp,Collisions Checked,Collisions
15,4678,1340,354
15,4693,1369,354
15,4708,1354,350
15,4723,1357,352
14,4737,1356,356
14,4751,1334,350
15,4766,1307,350
15,4781,1313,350
15,4796,1350,359
15,4811,1332,356
14,4825,1279,346
15,4840,1300,352
15,4855,1344,353
15,4870,1342,354
15,4885,1292,348
15,4900,1261,342
16,4916,1242,345
15,4931,1242,344
14,4945,1280,345
14,4959,1292,347
14,4973,1208,335
15,4988,1183,330
14,5002,1232,340
15,5017,1302,350
15,5032,1269,343
14,5046,1301,350
15,5061,1326,356
15,5076,1302,355
15,5091,1292,353
15,5106,1298,356
15,5121,1287,353
15,5136,1334,364
15,5151,1263,354
15,5166,1346,371
15,5181,1343,364
15,5196,1346,361
15,5211,1333,361
15,5226,1306,356
15,5241,1242,347
15,5256,1233,347
15,5271,1212,344
15,5286,1236,349
14,5300,1228,345
15,5315,1185,338
15,5330,1140,333
14,5344,1235,348
15,5359,1261,350
15,5374,1223,345
15,5389,1221,345
15,5404,1233,347
14,5418,1205,343
15,5433,1225,342
14,5447,1206,339
15,5462,1279,349
14,5476,1276,348
14,5490,1273,348
14,5504,1218,338
15,5519,1252,344
14,5533,1340,355
15,5548,1300,349
15,5563,1259,344
15,5578,1259,347
15,5593,1327,356
14,5607,1361,360
14,5621,1352,357
15,5636,1315,351
14,5650,1317,353
14,5664,1250,340
15,5679,1248,337
15,5694,1218,332
15,5709,1249,331
14,5723,1267,334
15,5738,1298,340
15,5753,1268,339
15,5768,1323,347
15,5783,1392,355
15,5798,1391,354
15,5813,1332,347
15,5828,1325,342
15,5843,1285,339
14,5857,1254,335
14,5871,1240,331
14,5885,1224,330
14,5899,1260,333
14,5913,1259,334
14,5927,1277,338
14,5941,1228,329
14,5955,1182,322
15,5970,1278,335
14,5984,1229,332
14,5998,1210,327
15,6013,1237,332
15,6028,1207,329
14,6042,1215,332
15,6057,1191,327
15,6072,1157,323
14,6086,1203,330
15,6101,1263,340
15,6116,1250,333
15,6131,1207,326
15,6146,1195,330
15,6161,1166,329
14,6175,1206,335
15,6190,1222,338
14,6204,1206,333
14,6218,1246,340
15,6233,1241,339
14,6247,1233,333
15,6262,1171,324
14,6276,1179,325
14,6290,1235,334
14,6304,1217,331
15,6319,1232,335
14,6333,1224,331
14,6347,1244,337
15,6362,1216,332
15,6377,1219,330
15,6392,1263,341
14,6406,1242,335
14,6420,1213,335
15,6435,1231,341
15,6450,1189,331
15,6465,1227,336
15,6480,1231,337
14,6494,1161,327
14,6508,1151,323
14,6522,1180,327
14,6536,1219,333
15,6551,1239,336
15,6566,1267,338
15,6581,1269,339
15,6596,1307,343
14,6610,1351,353
15,6625,1312,346
14,6639,1329,350
15,6654,1374,357
14,6668,1351,353
15,6683,1345,349
15,6698,1277,344
15,6713,1310,350
14,6727,1299,348
15,6742,1315,346
15,6757,1345,353
14,6771,1340,352
14,6785,1320,348
14,6799,1255,340
15,6814,1348,358
15,6829,1324,356
14,6843,1295,351
15,6858,1309,355
14,6872,1334,356
15,6887,1299,353
15,6902,1283,350
15,6917,1261,348
15,6932,1263,351
15,6947,1290,352
14,6961,1257,348
14,6975,1277,351
15,6990,1307,355
15,7005,1319,358
14,7019,1352,360
15,7034,1318,354
15,7049,1334,355
14,7063,1341,357
15,7078,1331,357
15,7093,1372,362
14,7107,1343,354
15,7122,1346,354
15,7137,1337,352
15,7152,1377,357
15,7167,1351,352
15,7182,1310,348
14,7196,1325,347
15,7211,1332,349
14,7225,1324,349
15,7240,1365,356
15,7255,1351,355
15,7270,1402,363
15,7285,1361,353
15,7300,1388,358
15,7315,1330,348
14,7329,1317,347
14,7343,1308,343
16,7359,1335,350
15,7374,1402,359
14,7388,1337,350
14,7402,1306,343
14,7416,1311,346
15,7431,1319,349
14,7445,1357,351
14,7459,1360,347
15,7474,1373,351
15,7489,1408,353
14,7503,1418,356
15,7518,1374,351
15,7533,1366,350
15,7548,1360,351
15,7563,1371,354
15,7578,1351,351
15,7593,1395,356
15,7608,1361,351
15,7623,1344,350
16,7639,1368,354
14,7653,1318,345
15,7668,1332,347
14,7682,1345,349
15,7697,1425,364
15,7712,1379,353
14,7726,1388,357
15,7741,1361,358
15,7756,1366,356
15,7771,1329,352
15,7786,1361,356
15,7801,1369,357
15,7816,1285,342
15,7831,1296,344
15,7846,1315,343
14,7860,1332,345
15,7875,1303,342
14,7889,1367,345
15,7904,1359,346
14,7918,1395,352
15,7933,1398,350
15,7948,1304,336
15,7963,1300,340
15,7978,1352,350
15,7993,1363,355
15,8008,1302,343
14,8022,1324,345
15,8037,1415,360
15,8052,1364,350
15,8067,1350,351
14,8081,1364,350
15,8096,1330,345
14,8110,1321,342
15,8125,1280,336
15,8140,1290,338
15,8155,1296,341
14,8169,1294,342
14,8183,1292,341
15,8198,1346,350
14,8212,1386,356
15,8227,1368,350
15,8242,1361,350
14,8256,1363,354
15,8271,1422,366
14,8285,1385,358
15,8300,1306,347
15,8315,1251,342
15,8330,1302,348
15,8345,1297,349
15,8360,1274,346
15,8375,1243,339
15,8390,1227,338
15,8405,1314,348
15,8420,1354,351
15,8435,1387,352
15,8450,1380,352
15,8465,1364,351
14,8479,1347,345
14,8493,1334,342
15,8508,1363,349
15,8523,1395,358
15,8538,1403,358
15,8553,1374,353
15,8568,1383,359
15,8583,1404,361
15,8598,1410,358
15,8613,1404,356
15,8628,1395,355
15,8643,1387,356
15,8658,1373,358
15,8673,1279,346
15,8688,1341,359
15,8703,1344,355
14,8717,1276,344
15,8732,1315,352
15,8747,1299,354
15,8762,1292,352
15,8777,1324,358
14,8791,1349,357
14,8805,1279,349
15,8820,1244,342
15,8835,1202,338
15,8850,1261,346
15,8865,1317,355
15,8880,1246,346
15,8895,1193,337
15,8910,1173,332
15,8925,1210,343
14,8939,1218,342
14,8953,1196,339
14,8967,1170,335
15,8982,1269,348
15,8997,1295,347
15,9012,1230,336
15,9027,1258,342
15,9042,1261,346
15,9057,1244,342
14,9071,1237,340
15,9086,1212,335
14,9100,1185,332
14,9114,1232,339
15,9129,1264,342
14,9143,1216,334
14,9157,1224,335
14,9171,1253,345
15,9186,1200,337
14,9200,1178,335
15,9215,1197,337
14,9229,1195,340
14,9243,1133,331
14,9257,1141,333
15,9272,1134,329
15,9287,1108,325
14,9301,1116,328
15,9316,1174,337
14,9330,1176,334
15,9345,1171,334
14,9359,1219,340
15,9374,1186,334
15,9389,1168,329
14,9403,1127,324
15,9418,1237,338
16,9434,1220,333
14,9448,1229,334
14,9462,1175,325
15,9477,1182,333
14,9491,1252,340
14,9505,1244,332
14,9519,1186,326
15,9534,1171,327
14,9548,1203,331
14,9562,1247,337
14,9576,1217,332
15,9591,1216,332
14,9605,1191,326
14,9619,1194,328
15,9634,1206,329
15,9649,1195,326
14,9663,1215,330
14,9677,1200,328
15,9692,1220,330
14,9706,1223,329
15,9721,1218,329
14,9735,1206,330
14,9749,1296,340
14,9763,1275,337
14,9777,1271,339
15,9792,1222,330
15,9807,1253,337
14,9821,1260,339
14,9835,1277,340
14,9849,1310,342
14,9863,1278,338
15,9878,1323,342
15,9893,1344,345
15,9908,1321,341
15,9923,1310,341
15,9938,1338,345
14,9952,1395,349
15,9967,1419,356
14,9981,1373,352
15,9996,1349,352
15,10011,1374,355
15,10026,1319,347
15,10041,1252,339
14,10055,1213,331
15,10070,1284,344
15,10085,1311,349
15,10100,1290,345
15,10115,1297,346
14,10129,1285,344
15,10144,1343,355
15,10159,1320,352
15,10174,1362,355
15,10189,1335,351
14,10203,1301,345
15,10218,1328,349
15,10233,1315,348
15,10248,1297,345
14,10262,1316,348
14,10276,1326,348
16,10292,1366,354
15,10307,1377,355
15,10322,1403,361
15,10337,1415,360
15,10352,1415,357
15,10367,1376,349
15,10382,1372,349
15,10397,1417,357
15,10412,1429,360
15,10427,1406,357
14,10441,1380,352
15,10456,1397,358
14,10470,1347,349
15,10485,1387,356
14,10499,1388,353
14,10513,1329,346
15,10528,1324,350
14,10542,1357,351
