Runtime (ms):,40046
Average checktime (ms):,40.226501
Cubesize:,100
Devisions:,6
Total cells:,216

Time per collision check(ms),TimeStamp,Collisions Checked,Collisions
40,14074,738,378
39,14113,736,380
40,14153,751,385
40,14193,725,368
40,14233,701,367
40,14273,708,371
41,14314,741,375
39,14353,749,378
41,14394,727,370
41,14435,750,374
41,14476,746,370
40,14516,767,378
41,14557,769,383
41,14598,793,385
39,14637,791,387
40,14677,795,388
40,14717,816,389
40,14757,804,387
40,14797,782,384
40,14837,757,380
40,14877,741,381
40,14917,775,392
40,14957,832,406
40,14997,802,393
39,15036,766,381
39,15075,754,377
40,15115,741,379
40,15155,744,371
40,15195,752,378
42,15237,729,369
41,15278,686,362
41,15319,682,364
39,15358,687,371
40,15398,708,382
40,15438,709,380
41,15479,725,382
40,15519,704,382
40,15559,664,362
41,15600,639,351
40,15640,647,357
41,15681,664,360
39,15720,691,365
40,15760,688,361
39,15799,652,356
40,15839,684,371
41,15880,671,362
40,15920,652,359
39,15959,635,353
40,15999,653,360
40,16039,637,356
40,16079,630,351
41,16120,646,358
40,16160,656,364
41,16201,660,365
40,16241,657,357
42,16283,634,354
41,16324,653,360
40,16364,630,353
39,16403,626,351
39,16442,653,357
41,16483,711,371
40,16523,713,368
40,16563,701,362
39,16602,705,363
39,16641,690,357
40,16681,675,354
39,16720,711,367
39,16759,699,359
39,16798,702,362
40,16838,696,353
40,16878,716,364
40,16918,676,353
40,16958,701,362
41,16999,688,351
40,17039,701,359
40,17079,670,350
39,17118,639,346
39,17157,647,346
39,17196,628,340
39,17235,645,347
39,17274,616,334
40,17314,614,338
41,17355,623,347
40,17395,625,345
39,17434,615,343
40,17474,644,352
40,17514,655,358
41,17555,687,370
40,17595,680,360
40,17635,674,358
41,17676,673,360
40,17716,695,372
40,17756,683,367
41,17797,661,358
40,17837,674,366
40,17877,659,357
40,17917,681,360
40,17957,669,360
42,17999,684,360
41,18040,676,354
40,18080,673,361
40,18120,684,359
40,18160,667,353
40,18200,665,356
40,18240,678,358
41,18281,688,365
40,18321,681,360
40,18361,655,353
39,18400,633,345
39,18439,671,358
40,18479,679,356
41,18520,697,368
40,18560,706,363
41,18601,717,369
40,18641,692,360
40,18681,702,362
41,18722,713,370
40,18762,730,379
41,18803,735,378
41,18844,815,399
